strain,id,race,flavors,effects,0
Royal Chemdawg,1742,hybrid,"['Citrus', 'Diesel', 'Chemical']","{'positive': ['Relaxed', 'Happy', 'Uplifted', 'Sleepy', 'Giggly'], 'negative': ['Dizzy'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Fatigue', 'Headaches']}","If you thought Girl Scout Cookies couldn’t get any better, then behold its next evolution, Platinum Girl Scout Cookies. This Cup-winning hybrid -- a cross of OG Kush, Durban Poison, and a third unknown strain -- fills your nose and lungs with sweet notes of berry and candy, followed by a fruity spiciness. Patients with severe pain, nausea, swelling, migraines, and stress should look no further for relief as symptoms both physical and mood-related melt away instantly. The Platinum Girl Scout Cookies strain flaunts a heavy coat of crystal trichomes over its sage green leaves, assuring its potency to any consumer in doubt."
Royal Dwarf,1743,hybrid,"['Skunk', 'Honey', 'Lemon']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Tingly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Eye Pressure', 'Muscle Spasms']}","Platinum Huckleberry Cookies by Dynasty Seeds is a labor of love that began in 2014. This strain crosses a potent Platinum Girl Scout Cookies mother plant and Dynasty’s own Oregon Huckleberry father. The hybrid of these two strains offers growers higher yields, better internodal spacing, and a complexity of flavor few strains achieve. Its aroma is sour berries and mint while the flavor is hashy and floral. Platinum Huckleberry Cookies stimulates the mind with a rush of euphoria and crests into a full-body couchlock."
Royal Haze,1744,sativa,"['Skunk', 'Citrus', 'Tropical']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Eye Pressure']}","Platinum Kush is an indica-dominant strain that takes on a platinum-silver shade due to its thick coat of crystal resin. With purple hues and bright orange hairs, its buds grow dense with a sweet fruity and hashy aroma. Its THC content can measure up to about 18% with trace levels of CBD, and its buzz has been described as strongly cerebral and body-numbing."
Royal Highness,1745,hybrid,"['Flowery', 'Woody', 'Coffee']","{'positive': ['Hungry', 'Happy', 'Talkative', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']}","Platinum OG is just as precious as the metal it’s named after. With a THC content regularly topping 20%, this indica-dominant hybrid asserts itself as one of the “heaviest” strains around. Platinum OG is purported to stem from three strains: Master Kush, OG Kush, and a third unknown parent. Flowers are lime green and plump, with prominent orange hairs and a platinum coating thanks to the abundance of THC crystals. A brief, heady onset settles into a powerful physical sedation suitable for nighttime use and pain, stress, or anxiety relief, making this precious strain a robust healer."
Royal Kush,1746,hybrid,"['Earthy', 'Skunk', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Headaches', 'Muscle Spasms']}","Platinum Purple Kush is a great nighttime cannabis strain. If you suffer from insomnia or would like to wind down after a busy workday, this strain may be a good one to try. Unlike some other indicas, Platinum Purple Kush provides deep muscle relaxation while also allowing you to focus. Though this strain produces an almost sativa-like euphoria, you may still find yourself stuck on the couch. In true Purple Kush fashion, Platinum Purple Kush features a strong musky grape aroma."
Rubicon,1747,hybrid,"['Flowery', 'Earthy', 'Lavender']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']}",
RudeBoi OG,1748,hybrid,"['Earthy', 'Woody', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}","Plushberry, a cross between Black Cherry Soda and Space Queen, is an 80% indica strain bred by TGA Seeds. The Black Cherry Soda lends this strain an aromatic berry scent, while the Space Queen genetics promote heavy resin production. Plushberry induces a deep relaxation in the mind and body, with calming qualities that melt away stress. There are two main phenotypes of Plushberry: one that grows smaller, pink-tinted plants, and another with bulkier, more indica-like formations. Plushberry flowers in 55 to 65 days with medium to heavy yields. "
Rug Burn OG,1749,hybrid,"['Spicy/Herbal', 'Citrus', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']}","Pluto may no longer be a planet, but that doesn’t debase the cosmic makeup of this charming indica. Debilitating sedation, commonly lamented by indica connoisseurs, is not a matter of contention for Pluto Kush, which thrives at providing instant physical relief while maintaining steady cerebral stimulation. The fluffy, soft flowers emanate a pungent aroma indicative of the strong, pleasant medicinal effects it administers."
Russian Assassin,1750,indica,"['Diesel', 'Skunk', 'Ammonia']","{'positive': ['Relaxed', 'Happy', 'Tingly', 'Sleepy', 'Focused'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']}",
Russian Rocket Fuel,1751,hybrid,"['Spicy/Herbal', 'Diesel', 'Menthol']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Lack of Appetite', 'Nausea', 'Eye Pressure']}","Pokie is an indica-dominant strain that descends from a Pure Kush and LA Confidential hybrid and a Sweet Tooth and Juicy Fruit cross. Sister to the high-CBD indica Gumbi, Pokie caters to those more concerned with a high-THC content. Its earthy chocolate flavors are met with tranquilizing effects that relax the body without too much fogginess in the mind."
SAGE,1752,hybrid,"['Pine', 'Earthy', 'Sage']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Muscle Spasms']}","Poochie Love from Archive Seed Bank is a 70% sativa strain that descends from the ever-so-tasteful Dog Shit and Face Off OG. The Dog Shit parent is famous for its, um, “novel” smell that gave this strain its name, but Poochie Love came out smelling a bit more like earthy and herbal spice. Where Poochie Love really shines, however, is in its powerful but motivating euphoria. Stimulating creative and social energy, Poochie Love is the perfect companion strain for busy days in which a functional mind is paramount. "
SFV Dog,1753,hybrid,"['Pungent', 'Pine', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy', 'Focused'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Muscle Spasms']}","Pop Rox is an indica-dominant hybrid strain from a private seed collection in Las Vegas. True to its name, Pop Rox carries a sweet, candy-like aroma that translates to a fruity flavor on the inhale. Relaxing, euphoric effects give rise to creative clarity while stress and bad moods melt away."
SFV OG,1754,hybrid,"['Pine', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']}","One of the lesser-known strains, many misassociate this indica-dominant hybrid with the “popcorn buds” used to describe poorer quality cannabis harvested towards the bottom of the plant. Popcorn Kush, however, is a strong strain packed into small, dense buds that resemble and taste like popcorn. Consumers rave about its potency and small body, which contradicts the large, bushy flower appearance typically analogous with high-quality cannabis. While this indica possesses some serious horsepower, its delivery is short and quick, preferential for new and experienced cannabis consumer alike."
SFV OG Kush,1755,indica,"['Lemon', 'Citrus', 'Diesel']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Muscle Spasms']}","Pot of Gold comes from Dutch seed bank Flying Dutchmen and won 2nd prize at the 2003 Cannabis Cup. Its seeds produce massive yields of very sticky buds that are hard to break up by hand. It has a refined sweet, fruity hashish taste and an extremely potent physical effect."
Sage N Sour,1756,sativa,"['Sage', 'Diesel', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Eye Pressure']}","A popular cannabis strain in Amsterdam, the buds of Power Kush have an abundance of resin with white and orange hairs. The aroma is likened to a sweet skunk smell with a light touch of strawberry and orange. The effects are both cerebral and physical with a THC content up to 16% and a CBD of 0.18%. Flowering time is 7-8 weeks. "
Salmon River OG,1757,indica,"['Pungent', 'Earthy', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Happy', 'Talkative', 'Sleepy'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']}","Power Plant comes from Dutch Passion Seed Company and is derived from powerful South African sativa strains. Thanks to this, these plants have a fast growing time compared to most sativas and will produce either many medium-sized flowers or a few very large buds with smaller “popcorn” buds between 7 and 9 weeks. These plants are troopers and will do well in almost any grow environment, but its woody, earthy scent is pungent, so indoor growers will have to prepare. Power Plant has a sharp, peppery taste. While many sativas are good choices for a clear-headed buzz, this plant’s high THC content makes it powerful. It makes some users happy and creative, though effects may verge on too intoxicating for some."
Santa Maria,1758,sativa,"['Earthy', 'Sweet', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Energetic'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Fatigue', 'Inflammation', 'Muscle Spasms']}","Born in the days of grunge, The Spice Girls, and Y2K, Pre-98 Bubba Kush is a blast from the past. This strain provides consumers with a consistent indica-heavy body sensation, making it a favorite for more than a decade. Pre-98 Bubba Kush is great for those looking for pain relief without feeling overwhelmed or incapacitated. Flowering at around 10 weeks, P-98 features a pungent, musky scent and coffee-like taste. This oldie but goodie might be just the thing when you’re looking to relax and unwind at the end of a long day."
Santa Sativa,1759,sativa,"['Blueberry', 'Earthy', 'Lavender']","{'positive': ['Creative', 'Aroused'], 'negative': ['Dizzy', 'Dry Eyes', 'Anxious'], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Spasticity']}","A cross between Plushberry and Starfighter, Predator Pink by Exotic Genetix is a 60/40 indica-dominant hybrid with a tropical candy flavor. Though less common than its green counterpart, some phenotypes express themselves in pastel pink and fuchsia hues. Beginning with a lift of the spirit and buzzing cerebral energy, Predator Pink’s effects eventually make their descent into meditative relaxation."
Sapphire Scout,1760,hybrid,"['Berry', 'Blueberry', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Headaches', 'Inflammation']}","Presidential OG by Royal Queen Seeds is an indica cross between Bubble Gum and OG Kush that definitely knows how to get your attention with its intense citrus-pine smell. As far as taste goes, it maintains the pine flavor and heads into more earthy terrain. Almost purely indica, this strain hits hard and fast with a sedative effect that make this a popular choice for those dealing with insomnia or stress. "
Sapphire Star,1761,hybrid,"['Grapefruit', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Happy', 'Uplifted', 'Sleepy', 'Focused'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Headaches', 'Eye Pressure']}","Primus, also called Primus OG, is a complex indica strain that combines Arcata, Trainwreck, and 303 OG. Each parent strain passes on something special to Primus: Arcata with its creative activation, Trainwreck with its long-lasting euphoria, and 303 OG with its sour fruit flavors. This trifecta of duration, fragrance, and quality of high makes for a potent hybrid cherished by patients and recreational consumers alike. For those using cannabis medicinally, consider choosing Primus for evening management of depression, anxiety, appetite loss, or pain relief."
Sasquatch Sap,1762,hybrid,"['Diesel', 'Coffee', 'Earthy']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Inflammation']}","Princess's Tiara, bred by Branden Waite, is the heady cross of parent strains Cinderella's Dream and Headband. Offering a bouquet of pungent terpenes that reek of fuel, sweetness, and earth, the Princess’s Tiara smells very similar to its predecessors. The strain’s effects are uplifting and euphoric but tempered by the strong pull of the Blueberry and Sour Diesel on either side of the cross. Enjoy Princess’s Tiara throughout the day in small doses to improve mood, creativity, and focus.  "
Satellite OG,1763,indica,"['Pungent', 'Berry', 'Minty']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps']}","Professor Chaos is what you get when you combine the malevolent forces of Mad Scientist and Jack the Ripper, two strains that balance energy with merciless painkilling properties. This 65/35 sativa-dominant hybrid originally from Homegrown Natural Wonders has a sour, spicy aroma that introduces its clear-headed effects perfect for patients needing a potent medicine without sacrificing productivity. Its buds form knobby, finger-like calyxes covered in a snow-like layer of crystal trichomes in a show of Professor Chaos’ supervillian strength."
Satori,1764,hybrid,"['Earthy', 'Pine', 'Chemical']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']}","3C Project Blue Book is like a more sophisticated Blue Dream; it’s sativa in nature, but backed by a serene body high. This sativa heavy hybrid is a cross between Blue Dream and 3C Majestic 12. Both powerful strains blend perfectly to create a clear, focused, and calming experience. Its name comes from a series of systematic studies regarding UFOs conducted by the United States. Light green colas carry the flavor and scent of roses and a freshly peeled orange, tickling the palate as the head high ascends."
Saturn OG,1765,hybrid,"['Earthy', 'Pungent', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}",
Savant's Grail,1767,hybrid,"['Chemical', 'Earthy', 'Flowery']","{'positive': ['Euphoric', 'Happy', 'Focused', 'Giggly', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': []}",
Schrom,1768,sativa,"['Lemon', 'Citrus', 'Pine']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Headache', 'Eye Pressure', 'Muscle Spasms']}","Puna Buddaz is a legendary Hawaiian landrace indica that first gained popularity in the 60’s and 70’s. This powerful psychedelic strain originated in the Puna District of The Big Island and has been cultivated on the “Red Road” in Puna for generations. Known for its off-the-charts potency and stout mold resistance, Puna Buddaz is a short plant that produces shimmering clusters of beautiful Hawaiian flowers that offer strong mental and physical effects that are not for the faint of heart. "
Scooby Snacks,1769,hybrid,"['Earthy', 'Pungent', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Headaches', 'Inflammation']}","Puna Budder is a hybrid of Hawaiian and Afghani landraces bred by T.H. Seeds. The tropical influence of Hawaiian genetics creates an invigorating aroma and flavor palate, while the stable Afghani genes minimize Puna Budder’s flowering cycle down to a respectable 55-60 days."
Scott's OG,1770,hybrid,"['Pine', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}","Punky Lion is a pure indica strain from Samsara Seeds that combines the strength of two other potent indicas, Chronic and Matanuska Tundra. Its dark buds have a sweet, earthy cocoa aroma, and when consumed, it induces heavily sedating effects expected from indica varieties. Punky Lion offers generously heavy yields following its 8 week flowering time indoors, or at the end of September for outdoor gardens."
Scout's Honor,1771,hybrid,"['Sweet', 'Tropical', 'Flowery']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Talkative', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Headaches']}",The Pure Afghan is an exclusive landrace from the Mazar I Sharif region of Afghanistan. This is one of the only DNA Genetics strains that is bred outside of Holland and are from a fresh seed stock. A rare and rewarding high for the proud cannabis connoisseur.
Seattle Blue,1772,indica,"['Flowery', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Creative', 'Talkative'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Headaches']}","Clear your schedule because Pure Kush is one potent indica. A longtime favorite of pain sufferers, this strain will leave you feeling heavily sedated. Pure Kush’s strength begins with its signature “kush” aroma that is extremely pungent and skunky. Upon first taste, it may have slightly sativa-like effects and create a pleasant pressure in the head and face. These head-heavy sensations are complemented by a relaxing body feeling that gives Pure Kush its reputation of one of the most powerful medical strains."
Seattle Cough,1773,sativa,"['Sweet', 'Pine', 'Citrus']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Talkative', 'Uplifted'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']}",
Secret Garden OG,1774,indica,['Lavender'],"{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Talkative'], 'negative': [], 'medical': []}","If you’re searching for a potent sativa, Pure Power Plant may be the strain for you. Featuring a musky, citrus smell, this strain is fairly pungent and skunk-like. Great for daytime, Pure Power Plant produces a clear-headed sensation while causing a pleasant, gentle pressure in the face and head. As this strain is not a pure sativa, however, some indica effects shine through, especially after heavy use. Too much Pure Power Plant may put you to sleep or leave you stuck on the couch. This strain is easy to grow both indoors and outdoors. Known for its high yields, PPP typically flowers in 8-10 weeks."
Secret Recipe,1775,hybrid,"['Diesel', 'Citrus', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth', 'Paranoid', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Cramps', 'Muscle Spasms']}","This slightly indica-dominant hybrid knocks out pain in a hurry. The product of a cross between Granddaddy Purple and AK-47, Purple AK-47 provides consumers with a relaxing, tingly body sensation. The gentle body feeling is coupled with a rush of mental energy, making this a balanced hybrid. Drawing from its AK-47 heritage, this strain is a fast-acting “one hit wonder.” It has a very pungent yet floral aroma and features a flowering time of 7-9 weeks. If you suffer from pain and need to get things done, Purple AK-47 might be a good one to try."
Sensi Skunk,1776,indica,"['Citrus', 'Earthy', 'Pine']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}",A strong plant that is easy to grow. This Afghani is a mostly Indica inbred to produce thick and heavy buds. This variety has dark green leaves and calyxes that turn purple at flowering. Medium-high leaf to flower ratio with a subtle aroma and a very good high.
Sensi Star,1777,indica,"['Earthy', 'Sweet', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}","Purple Alien OG was created after crossing a male of Alien Kush with the heavy effects of Tahoe OG. Known for having beautiful dark purple leaves and being covered in trichomes, Purple Alien OG produces thick cone-shaped buds. Tones of pine, earth, and citrus combine to create a pungent flavor with powerful relaxing effects that are often recommended to those with symptoms of insomnia, nausea, and chronic pain. "
Sequoia Strawberry,1778,sativa,"['Sweet', 'Earthy', 'Strawberry']","{'positive': ['Relaxed', 'Euphoric', 'Energetic', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']}","When it comes to knocking out pain, no medical strain hits the target quite like Purple Arrow. This hybrid provides effective relief for severe pain while simultaneously inducing a sense of uplift and euphoria. Extremely well-rounded, Purple Arrow is potent without causing that over-medicated feeling of some pain relief strains. The uniqueness of this strain is complemented by its earthy aroma. Fragrant, herbal, and a little sweet, this strain tastes almost as good as it feels. When you need immediate relief and would like to stay off the couch, Purple Arrow is a fantastic choice."
Serious 6,1779,sativa,"['Citrus', 'Lemon', 'Tropical']","{'positive': ['Hungry', 'Happy', 'Creative', 'Energetic', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Stress', 'Fatigue', 'Eye Pressure', 'Inflammation']}","New from breeders Alaska Built, Purple Aurora is a 60% indica, 35% sativa, 5% ruderalis auto-flowering hybrid resulting from a cross of Purple Kush and Purple Auto. This compact plant is well suited for outdoor grows in short-season northern climates, and produces tight flowers with significant levels of CBD and flavors ranging from overripe berries to earth and spicy fruit."
Sexxpot,1780,indica,"['Flowery', 'Tropical', 'Skunk']","{'positive': ['Relaxed', 'Hungry', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Pain', 'Lack of Appetite', 'Fatigue', 'Spasticity', 'Muscle Spasms']}","Purple Berry is an indica-dominant strain that is a cross of Grandaddy Purple and Blueberry. It stays true to its colorful lineage and produces dense green flowers that are streaked with purples and blues, and sometimes pinks and oranges. Purple Berry gives off a sweet smell with just a hint of nuttiness; the taste follows suit with an overwhelmingly Blueberry flavor. This is a heavy indica for sure, but many users report that it is less sedative and allows for some mental alertness while providing a strong body buzz."
Shaman,1781,sativa,"['Sweet', 'Lemon', 'Earthy']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Stress', 'Nausea', 'Headache', 'Fatigue', 'Headaches']}","Purple Bubba is a cross of two well-known indica strains, Bubba Kush and Purple Kush. Given these potent genetics, you can be sure that a few puffs of this smooth and fruity tasting strain will leave you stuck to your chair with an intense body high. According to reports, Purple Bubba can be beneficial for patients suffering from chronic pain, loss of appetite, anxiety, and insomnia."
Shangri-La,1782,hybrid,"['Earthy', 'Lemon', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Eye Pressure']}","From Sensi Seeds comes the purple-blossomed indica Purple Bud, appropriately named for its bright hues of lavender. A descendant of Afghani indicas, this colorful plant offers large harvests of sparkling buds that carry the sweet and piney aroma of sandalwood. A distant sativa relative from Jamaica gives this strain a little added height and cerebral invigoration, but Purple Bud’s effects generally fall heavy on both mind and body. After crossing the Afghani indicas with a Jamaican sativa, Sensi Seeds added genetics from a Dutch Hindu Kush and a California Purple Kush."
Shark Attack,1783,indica,"['Earthy', 'Pungent', 'Skunk']","{'positive': ['Hungry', 'Happy', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Cramps', 'Inflammation']}",Purple Buddha is a cross between The Purps and Blue Buddha.  Combines grape flavors of the Purps with the creamy berry tastes of Blue Buddha.
Shark Bite,1784,hybrid,"['Pungent', 'Sweet', 'Tropical']","{'positive': ['Relaxed', 'Euphoric', 'Energetic', 'Uplifted'], 'negative': ['Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress']}","Purple Bush, brought to you by Leafs by Snoop, is an indica-dominant hybrid that carries all the hallmark traits of a kush with a hint of berry flavor. This dense purple-hued strain tests upward of 21% THC and will have you feeling relaxed after a long day. "
Shark Shock,1785,indica,"['Woody', 'Pine', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Inflammation', 'Muscle Spasms']}","Purple Candy is one of those indica-dominant crosses that’s good all around, especially for those who need strong relaxing medication. This British Columbian strain is commonly thought to be a cross of BC Sweet Tooth and Mendocino Purps, and its large flowers with rich purple coloring and amber hairs support the purple genetics. Purple Candy’s frosty buds will leave your hands sticky, much like normal candy, but instead of a sugar rush it will provide some happy sativa effects. The sensation will settle into a full body buzz that may leave you lazy and ready for bed. Sugary-sweet in scent and taste, Purple Candy will have you thinking of your favorite grape-flavored treat."
Sharksbreath,1786,hybrid,"['Earthy', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}","Purple Champagne is a sativa-dominant cannabis strain bred by Grand Daddy Purp, who crossed a rare sativa phenotype of his famous Granddaddy Purple with Pink Champagne (AKA Phantom). The main appeal of Purple Champagne is her vibrant bud coloration, but sativa lovers will also appreciate the heady, mood-lifting effects this strain has to offer. "
Shiatsu Kush,1787,hybrid,"['Earthy', 'Spicy/Herbal', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']}","Purple Cheddar is the caved-aged cross of Cheese and Grandaddy Purple. This strain packs pungent, earthy dimensions that linger on the tongue after combustion and offers a nearly instant euphoria. Tertiary effects gently creep over the body and mind, allowing the consumer to stay happy, heady, and functional while indulging in a mid-level relaxation. This strain may lean more toward sedation with continued use, but can be utilized for stress relief, for mild aches and pain, and an general mood elevation.  "
Shipwreck,1789,sativa,"['Pine', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']}","Purple Cheese is an indica-dominant autoflowering hybrid that combines Purple #1, Blue Cheese, and Lowryder. Bred by Auto Seeds, Purple Cheese was designed to have a sweeter, less cheesy flavor than its Blue Cheese parent. It does, however, inherit a tight bud structure and a high CBD profile. With a palatable fruit aroma, Purple Cheese delivers powerful full-body effects best suited for night owls or patients treating pain. Colder climates will bring out this hybrid's purple hues, and for best results, growers should keep this autoflowering variety between 50-80 cm in height."
